timestamp,hour,month,temp_c,cloud_pct,wind_speed_kmh,air_density,uv_index,solar_kw,wind_kw
2025-01-01 00:00:00,0,1,32.0,14.4,35.1,1.157,0.0,0.0,50.8
2025-01-01 01:00:00,1,1,42.3,22.4,40.7,1.119,0.0,0.0,63.0
2025-01-01 02:00:00,2,1,21.3,92.2,24.7,1.199,0.0,0.0,32.4
2025-01-01 03:00:00,3,1,26.6,2.3,26.5,1.178,0.0,0.0,33.9
2025-01-01 04:00:00,4,1,29.4,46.8,29.4,1.167,0.0,0.0,39.5
2025-01-01 05:00:00,5,1,15.8,4.7,43.3,1.222,0.0,0.0,60.9
2025-01-01 06:00:00,6,1,23.1,40.3,38.8,1.192,0.0,0.0,57.7
2025-01-01 07:00:00,7,1,23.3,67.3,13.9,1.191,0.0,0.0,15.1
2025-01-01 08:00:00,8,1,31.2,15.9,41.3,1.16,2.5,56.1,62.0
2025-01-01 09:00:00,9,1,20.7,33.6,13.2,1.201,3.3,56.0,16.6
2025-01-01 10:00:00,10,1,19.7,58.9,26.1,1.205,3.7,58.1,40.1
2025-01-01 11:00:00,11,1,24.4,15.2,14.9,1.186,7.6,177.9,27.3
2025-01-01 12:00:00,12,1,28.5,11.6,25.4,1.17,9.4,231.3,31.6
2025-01-01 13:00:00,13,1,27.3,28.6,19.1,1.175,6.9,155.6,26.8
2025-01-01 14:00:00,14,1,22.1,69.6,11.7,1.196,3.2,47.3,13.2
2025-01-01 15:00:00,15,1,13.1,8.8,8.5,1.233,4.6,114.5,13.2
2025-01-01 16:00:00,16,1,21.1,82.6,18.1,1.2,0.0,0.0,30.5
2025-01-01 17:00:00,17,1,21.3,21.4,9.6,1.199,0.6,3.1,10.2
2025-01-01 18:00:00,18,1,27.0,56.4,15.0,1.176,0.0,0.0,21.7
2025-01-01 19:00:00,19,1,22.0,84.9,20.5,1.196,0.0,0.0,31.0
2025-01-01 20:00:00,20,1,28.4,88.4,30.9,1.171,0.0,0.0,46.0
2025-01-01 21:00:00,21,1,25.1,84.2,17.9,1.184,0.0,0.0,24.5
2025-01-01 22:00:00,22,1,15.2,76.3,28.2,1.224,0.0,0.0,37.5
2025-01-01 23:00:00,23,1,24.9,75.3,34.3,1.184,0.0,0.0,48.1
2025-01-02 00:00:00,0,1,32.1,43.0,28.9,1.156,0.0,0.0,37.6
2025-01-02 01:00:00,1,1,39.9,68.0,35.5,1.128,0.0,0.0,44.1
2025-01-02 02:00:00,2,1,20.4,86.1,8.8,1.202,0.0,0.0,12.2
2025-01-02 03:00:00,3,1,23.7,25.3,41.2,1.189,0.0,0.0,59.4
2025-01-02 04:00:00,4,1,17.5,12.8,12.9,1.214,0.0,0.0,17.2
2025-01-02 05:00:00,5,1,22.5,13.7,22.3,1.194,0.0,0.0,34.4
2025-01-02 06:00:00,6,1,39.1,59.5,36.6,1.13,0.0,0.0,47.8
2025-01-02 07:00:00,7,1,28.1,85.3,28.5,1.172,0.0,0.0,37.7
2025-01-02 08:00:00,8,1,27.8,36.7,40.2,1.173,1.5,19.9,52.4
